bot_id,top_id,bot_type,top_type,x,y,z_bot,z_top,dx,dy,dz,dist_xy,type_pair,label_hybrid,dz_thresh,sector6,ang_deg
1,5584,1,3,66.1102313330689,112.104073586887,17.3620906684964,20.8991514292727,0.1184765824477978,-6.902661900198837e-05,3.537060760776299,0.11847660255588004,1->3,AA,3.336072339193011,0,359.9666184370475
2,5585,1,3,68.3091396412256,113.305141839926,17.3619444735053,20.899005107168,0.059177197960494254,0.10263876954300599,3.5370606336627013,0.1184764017505504,1->3,AA,3.336072339193011,1,60.03405934075191
3,6979,1,3,70.5079799646083,114.50670578769,17.3675190842391,20.8935528657588,-8.976620193834606e-07,0.2043545610044788,3.5260337815197005,0.20435456100645036,1->3,AA,3.336072339193011,2,90.00025168141532
4,5587,1,3,63.8542596804442,108.397490935268,17.378497299056,20.883837157019,0.29192396043039537,-0.10138193339899715,3.5053398579629977,0.309027337129073,1->3,AA,3.336072339193011,0,340.848456396157
5,5588,1,3,66.0519063327816,109.599343079653,17.3706600408609,20.8914964986491,0.23512686260710325,-0.000273145753993731,3.5208364577881994,0.23512702126310905,1->3,AA,3.336072339193011,0,359.9334397963631
6,5589,1,3,68.2504153249672,110.800637019725,17.3674217437682,20.8936580353357,0.17661858460040492,0.10197176000099262,3.5262362915675,0.2039420610466375,1->3,AA,3.336072339193011,1,30.00023664521048
7,5590,1,3,70.4493138881628,112.002162714819,17.3695787384973,20.8904142965586,0.11732577893648966,0.20376333072100294,3.5208355580613,0.23512727053570553,1->3,AA,3.336072339193011,1,60.06690482545922
8,5591,1,3,72.648135667166,113.204712577493,17.3772239696583,20.8825631507167,0.05816145631899872,0.3035054786979998,3.5053391810583996,0.30902804177104837,1->3,AA,3.336072339193011,1,79.15179406031974
9,7069,1,3,74.8464414469439,114.409055469269,17.3896588398213,20.8713653542428,-1.4435279069857643e-06,0.3996553437402639,3.4817065144215,0.39965534374287087,1->3,AA,3.336072339193011,2,90.0002069484569
10,5593,1,3,61.6043907734913,104.687893511001,17.4055345561508,20.8582507752234,0.4532225889559953,-0.19658447859899297,3.452716219072599,0.4940204169525922,1->3,AA,3.336072339193011,0,336.55129834662523
11,5594,1,3,63.7990166311263,105.892071586716,17.3937799278441,20.8712026709087,0.4024312857433969,-0.10016330727499678,3.4774227430646008,0.4147090882405991,1->3,AA,3.336072339193011,0,346.02333650330957
12,5595,1,3,65.9953788956299,107.094687355933,17.384226943642,20.8801515718025,0.348183991292899,-0.0005975861390083992,3.495924628160502,0.3481845041093114,1->3,AA,3.336072339193011,0,359.90166368673476
13,5596,1,3,68.1930471501273,108.296476231061,17.3782472497836,20.8840993280848,0.29134371574490103,0.10064414373898956,3.505852078301203,0.30823757780809286,1->3,AA,3.336072339193011,0,19.057376462754952
14,5597,1,3,70.39155376665,109.4982199996,17.3769574390624,20.8828095569931,0.23283091935638822,0.2019908796510066,3.505852117930697,0.3082378180407595,1->3,AA,3.336072339193011,1,40.943050496947315
15,5598,1,3,72.5904251985756,110.700716315665,17.3808972184551,20.8768215723446,0.17357292307450223,0.3018362414649971,3.4959243538894995,0.3481848306379,1->3,AA,3.336072339193011,1,60.09866102176217
16,5599,1,3,74.7892054070373,111.904751837983,17.3898327311546,20.8672545748459,0.11447006969220297,0.39859845739400157,3.477421843691303,0.4147096901354193,1->3,AA,3.336072339193011,1,73.97691802170607
17,5600,1,3,76.9874743903118,113.111067597285,17.4027682235538,20.8554839271907,0.05636255137468993,0.49079543420100435,3.452715703636901,0.4940211487679621,1->3,AA,3.336072339193011,1,83.44889709380618
18,7156,1,3,79.1848676087654,114.320316085962,17.4181823151665,20.8428080698069,-1.1605703349459873e-06,0.5771339971111757,3.424625754640399,0.5771339971123427,1->3,AA,3.336072339193011,2,90.00011521723266
19,5602,1,3,59.3639792429528,100.973175160232,17.4344052944624,20.830223304471,0.5956341490586965,-0.2815454277720022,3.3958180100086004,0.6588230926616016,1->3,AA,3.336072339193011,0,334.7007504472367
20,5603,1,3,61.5541687702271,102.180985167795,17.4231002653437,20.8444717760815,0.5537114288396978,-0.19239124570999877,3.421371510737803,0.5861831947894317,1->3,AA,3.336072339193011,0,340.8398281210584
21,5604,1,3,63.7467633531055,103.386428728217,17.4117795847925,20.8571027121126,0.5069659322382947,-0.09849648905999686,3.4453231273200977,0.5164455584157823,1->3,AA,3.336072339193011,0,349.0051953374236
22,5605,1,3,65.9414661512518,104.5900868051,17.4014606932138,20.8665689204618,0.45601582098230153,-0.0010154755580060737,3.465108227247999,0.45601695163312883,1->3,AA,3.336072339193011,0,359.8724115155147
23,5606,1,3,68.1378871515986,105.792648429589,17.3934637346072,20.8716823443529,0.4016505159934951,0.09867542459600998,3.478218609745703,0.4135939753152163,1->3,AA,3.336072339193011,0,13.802770780541863
24,5607,1,3,70.335577842776,106.994874993094,17.3891102299933,20.8719241953432,0.3447614068899014,0.199049539686996,3.4828139653499015,0.39809690645659274,1->3,AA,3.336072339193011,1,30.00018055803298
25,5608,1,3,72.534064058936,108.19756311322,17.389349465358,20.8675676383946,0.28627875132990255,0.2985037619179991,3.478218173036602,0.41359402720808924,1->3,AA,3.336072339193011,1,46.19760677594573
26,5609,1,3,74.732875779246,109.401511921885,17.3944546181878,20.8595625751276,0.22712668278690273,0.39543068498699085,3.4651079569398,0.45601749600543084,1->3,AA,3.336072339193011,1,60.12788859208961
27,5610,1,3,76.9315713809433,110.607486862088,17.4039095525213,20.849232467893,0.16818059138810781,0.4882952054430092,3.445322915371701,0.516446433793752,1->3,AA,3.336072339193011,1,70.99506258335111
